,KW_MAE_TRAIN,KW_MAPE_TRAIN,KW_RMSE_TRAIN
609,0.2959,0.5084,0.1725
610,0.2928,0.4475,0.1647
611,0.33,29.0816,0.1888
612,0.348,28.7335,0.2009
613,0.3464,24.3759,0.1934
614,0.3808,24.9792,0.2136
615,0.5276,39.5855,0.3726
616,0.6032,48.658,0.4949
617,0.383,0.7516,0.2239
618,0.3551,18.3935,0.1976
619,0.3777,8.7715,0.2011
620,0.397,2.256,0.2196
621,0.4241,2.0765,0.2451
622,0.4528,2.185,0.2824
623,0.4548,2.1547,0.3002
624,0.3985,1.623,0.2448
625,0.3579,1.0,0.2048
626,0.3639,0.9985,0.212
627,0.3802,1.0605,0.2424
628,0.4321,1.2896,0.3166
629,0.4672,1.0688,0.3994
630,0.5123,0.9521,0.5113
631,0.5602,1.0355,0.6219
632,0.6019,1.0,0.713
633,0.6398,1.0,0.7782
634,0.6564,1.0,0.7926
635,0.6737,1.0,0.7998
636,0.6679,1.0,0.7972
637,0.6504,0.9804,0.7844
638,0.6225,1.2064,0.7604
639,0.6258,1.3945,0.7591
640,0.6309,1.4622,0.7615
641,0.6243,1.3579,0.7574
642,0.6201,1.2024,0.7566
643,0.623,0.9988,0.76
644,0.6476,1.0,0.7754
645,0.6585,1.0,0.782
646,0.6638,1.0,0.7836
647,0.691,1.0,0.8037
648,0.702,1.0,0.8089
649,0.6986,1.0,0.8069
650,0.7017,1.0,0.8116
651,0.7095,1.0,0.8316
652,0.7205,1.0,0.8635
653,0.7279,1.0,0.8876
654,0.7345,1.0,0.9119
655,0.7329,1.0101,0.9028
656,0.7343,1.0,0.9105
657,0.7257,0.9952,0.8882
658,0.728,0.9979,0.8907
659,0.7202,1.0327,0.8848
660,0.716,1.0171,0.8837
661,0.7362,1.0991,0.8992
662,0.7907,1.1983,0.9504
663,0.8206,1.2344,0.9714
664,0.8347,1.1044,0.991
665,0.8386,1.0493,0.9935
666,0.8348,0.9931,0.9912
667,0.8384,0.9996,1.0065
668,0.82,1.0,0.9978
669,0.806,1.0,0.9904
670,0.8147,1.0,0.996
671,0.8054,1.0,0.9853
672,0.8144,1.0,0.9938
673,0.8164,1.0,0.9949
674,0.7858,0.9969,0.9657
675,0.7493,0.9985,0.8979
676,0.7068,1.0,0.808
677,0.6766,1.0,0.7255
678,0.6464,1.0,0.6308
679,0.625,0.9984,0.5667
680,0.6051,0.9976,0.5094
681,0.5847,1.0,0.4766
682,0.5576,0.9982,0.4558
683,0.5736,0.9995,0.4701
684,0.6114,1.0,0.5102
685,0.6339,1.0,0.5403
686,0.6459,0.9984,0.562
687,0.6432,0.99,0.5568
688,0.6413,0.9714,0.5612
689,0.6533,0.9634,0.5828
690,0.6583,0.9399,0.5911
691,0.635,0.8849,0.5516
692,0.5925,0.882,0.4931
693,0.5844,0.9802,0.479
694,0.5856,0.8721,0.5037
695,0.5884,0.8109,0.4983
696,0.6044,0.7979,0.5141
697,0.6384,0.8071,0.5558
698,0.6442,0.7918,0.5496
699,0.6127,0.8286,0.5114
700,0.5851,0.8438,0.4733
701,0.5382,0.8494,0.4128
702,0.4652,0.811,0.3275
703,0.3963,0.9484,0.27
704,0.4049,1.3686,0.2411
705,0.374,1.3706,0.2126
706,0.3483,1.0141,0.1902
707,0.36,1.0536,0.19
708,0.3733,1.0887,0.1994
709,0.3782,1.1429,0.2014
710,0.3723,1.153,0.191
711,0.3874,1.2801,0.2028
712,0.4203,1.3709,0.2278
713,0.4387,1.4016,0.2419
714,0.4644,1.451,0.2645
715,0.446,11.2157,0.2476
716,0.4594,12.4249,0.2557
717,0.477,12.9907,0.2705
718,0.4507,14.2399,0.2602
719,0.4624,14.7711,0.2645
720,0.4037,11.6051,0.2243
721,0.3808,1.238,0.2018
722,0.3685,7.4782,0.1904
723,0.3495,7.7078,0.1799
724,0.3541,8.4734,0.1815
725,0.35,9.8386,0.1756
726,0.3574,9.8426,0.1928
727,0.3303,5.8466,0.1852
728,0.3849,6.9453,0.2222
729,0.4134,7.5328,0.2472
730,0.4675,9.7918,0.2827
731,0.454,9.69,0.2638
732,0.4696,8.8258,0.2785
733,0.4752,10.7056,0.282
734,0.4651,10.781,0.2729
735,0.4124,7.2437,0.2277
736,0.3979,3.7371,0.2466
737,0.4119,0.9363,0.2688
738,0.4156,0.8792,0.2682
739,0.3802,0.7722,0.2403
740,0.4514,1.2836,0.2678
741,0.5064,2.2636,0.3308
742,0.5188,2.4687,0.3395
743,0.5588,1.5135,0.3783
744,0.5854,1.5368,0.4212
745,0.628,1.5845,0.4915
746,0.6406,1.6406,0.4962
747,0.6505,1.5357,0.4846
748,0.6012,1.4146,0.4426
749,0.6027,1.6242,0.4611
750,0.7001,1.9468,0.6176
751,0.7519,2.2013,0.7011
752,0.69,2.0927,0.5855
753,0.6313,2.0212,0.5068
754,0.6184,2.0678,0.508
755,0.6215,2.0906,0.5035
756,0.5996,1.7661,0.4407
757,0.5998,1.2478,0.4538
758,0.6137,1.1975,0.4783
759,0.6307,1.0812,0.5271
760,0.6295,1.0473,0.5058
761,0.5935,0.9192,0.4481
762,0.5856,0.9609,0.4209
763,0.5444,0.6961,0.3995
764,0.4781,0.5603,0.3211
765,0.4374,0.5353,0.3022
766,0.4249,0.5371,0.3059
767,0.4347,0.5404,0.2724
768,0.4582,0.5808,0.2903
769,0.442,0.616,0.2595
770,0.4235,0.6145,0.2377
771,0.4594,0.6671,0.291
772,0.4834,0.6315,0.3105
773,0.4799,0.6413,0.3347
774,0.4848,0.6502,0.349
775,0.4592,0.6037,0.3243
776,0.4386,0.554,0.2605
777,0.4497,0.5404,0.2622
778,0.4522,0.5169,0.2612
779,0.3787,0.4895,0.1863
780,0.3092,0.7155,0.1562
781,0.2979,1.6308,0.1433
782,0.303,2.2418,0.1477
783,0.2925,0.4596,0.1505
784,0.3303,2.09,0.1756
785,0.3771,1.0877,0.2188
786,0.4069,0.5416,0.2318
787,0.3788,0.5484,0.2121
788,0.3548,1.8895,0.216
789,0.3617,2.6038,0.2358
790,0.3846,2.4332,0.2633
791,0.3849,1.7974,0.2658
792,0.3871,1.8645,0.2609
793,0.3578,1.9779,0.2048
794,0.3167,1.5015,0.167
795,0.3116,1.4551,0.16
796,0.3063,1.5838,0.1545
797,0.3562,2.3505,0.2126
798,0.3895,3.2245,0.2538
799,0.3732,2.5713,0.2293
800,0.3462,2.2215,0.1801
801,0.344,0.5944,0.1786
802,0.424,0.7771,0.2671
803,0.4497,0.7714,0.2801
804,0.4354,0.7212,0.26
805,0.3947,0.6438,0.2211
806,0.3841,0.6483,0.2096
807,0.3904,0.4537,0.2338
808,0.4444,0.6411,0.2663
809,0.4856,0.5749,0.3524
810,0.5164,0.579,0.3937
811,0.4716,0.6191,0.3893
812,0.3918,0.6315,0.3701
813,0.3299,0.5704,0.3338
814,0.2933,0.4981,0.2876
815,0.2988,0.5143,0.2608
816,0.3611,0.741,0.2619
817,0.4049,0.9034,0.2662
818,0.4315,0.8786,0.3008
819,0.3998,0.7634,0.2608
820,0.4443,0.9344,0.3069
821,0.43,0.9759,0.3076
822,0.4521,1.0522,0.375
823,0.4637,1.0759,0.3341
824,0.3961,0.9129,0.234
825,0.2704,0.3639,0.1078
826,0.2395,0.3337,0.0927
827,0.2454,0.3349,0.1014
828,0.2797,0.3699,0.1102
829,0.3181,0.4519,0.1194
830,0.3551,0.5086,0.1524
831,0.356,0.5809,0.1591
832,0.3691,0.4838,0.2128
833,0.438,0.4448,0.3143
834,0.4774,0.4471,0.3815
835,0.431,0.4255,0.3691
836,0.4062,0.4668,0.3753
837,0.3855,0.4177,0.4131
838,0.3988,0.4261,0.3572
839,0.3989,0.4369,0.2962
840,0.3833,0.5457,0.2238
