,TEMPERATURE_MAE_TRAIN,TEMPERATURE_MAPE_TRAIN,TEMPERATURE_RMSE_TRAIN
642,1.8774,1.0,3.5563
643,1.8943,1.0,3.6149
644,1.9095,1.0,3.6695
645,1.9197,1.0,3.7063
646,1.9231,1.0,3.7188
647,1.9214,1.0,3.7125
648,1.9146,1.0,3.6868
649,1.9028,1.0,3.6415
650,1.8875,1.0,3.5832
651,1.8672,1.0,3.5063
652,1.8452,1.0,3.4239
653,1.8199,1.0,3.3308
654,1.7894,1.0,3.2229
655,1.7505,1.0,3.0992
656,1.7048,1.0,2.9688
657,1.6541,1.0,2.8383
658,1.5966,1.0,2.7091
659,1.534,1.0,2.5863
660,1.4646,1.0,2.4616
661,1.3947,1.0,2.3367
662,1.3248,1.0,2.2119
663,1.2549,1.0,2.087
664,1.1822,1.0,1.9561
665,1.1128,1.0,1.8201
666,1.0469,1.0,1.6799
667,0.986,1.0,1.5333
668,0.9267,1.0,1.3835
669,0.8692,1.0,1.2403
670,0.8134,1.0,1.1036
671,0.7576,1.0,0.9714
672,0.7034,1.0,0.8454
673,0.6527,1.0,0.7274
674,0.6053,1.0,0.6171
675,0.5664,1.0,0.525
676,0.5309,1.0,0.4409
677,0.5004,1.0,0.37
678,0.4751,1.0,0.3141
679,0.4565,1.0,0.2806
680,0.4412,1.0,0.2594
681,0.4243,1.0,0.2434
682,0.4108,1.0,0.2361
683,0.4023,1.0,0.2339
684,0.4006,1.0,0.2337
685,0.4012,1.0,0.2338
686,0.4034,1.0,0.2342
687,0.4056,1.0,0.2345
688,0.4124,1.0,0.236
689,0.4208,1.0,0.2402
690,0.4293,1.0,0.2465
691,0.4344,1.0,0.2519
692,0.4397,1.0636,0.2562
693,0.4578,1.4318,0.2651
694,0.4588,1.3553,0.2703
695,0.4629,1.2193,0.2779
696,0.4671,1.0795,0.2876
697,0.4699,1.0,0.2955
698,0.475,1.0,0.3022
699,0.475,1.0001,0.3022
700,0.4749,1.0369,0.2981
701,0.4719,1.0723,0.2895
702,0.4795,1.3355,0.2829
703,0.5289,2.5025,0.3024
704,0.5898,3.469,0.3572
705,0.6039,3.795,0.3754
706,0.5694,3.4605,0.346
707,0.5156,2.3436,0.304
708,0.4702,1.4133,0.2737
709,0.4597,1.1572,0.2686
710,0.4623,1.1249,0.2707
711,0.4595,1.0823,0.2711
712,0.4373,1.0379,0.2587
713,0.4101,0.8939,0.2462
714,0.3832,0.8026,0.2357
715,0.3711,0.8338,0.2241
716,0.3628,0.924,0.214
717,0.3557,0.9129,0.2042
718,0.3558,1.043,0.1957
719,0.3517,1.0492,0.1885
720,0.341,0.9497,0.1777
721,0.3262,0.8599,0.1661
722,0.3308,0.9459,0.158
723,0.3292,0.9754,0.1509
724,0.3224,0.9705,0.1431
725,0.3157,0.9478,0.1373
726,0.3094,0.9449,0.1304
727,0.3088,1.0,0.1277
728,0.2912,0.9227,0.1227
729,0.2732,0.8603,0.1196
730,0.3389,1.4873,0.1389
731,0.3848,2.0184,0.1648
732,0.3896,1.9317,0.1675
733,0.3957,1.8124,0.1821
734,0.4015,1.4594,0.1934
735,0.4358,1.0322,0.2383
736,0.4953,0.9973,0.3107
737,0.5226,1.0,0.3314
738,0.5356,1.0,0.3393
739,0.5317,1.0,0.3376
740,0.3977,0.8169,0.1866
741,0.3024,1.2152,0.12
742,0.2734,0.7735,0.1069
743,0.2747,1.0077,0.1044
744,0.305,0.7205,0.1243
745,0.3231,0.8222,0.137
746,0.3382,0.8605,0.1506
747,0.3532,0.906,0.165
748,0.3589,0.9205,0.1734
749,0.3241,0.8681,0.1379
750,0.3285,0.8675,0.1445
751,0.2588,1.2791,0.0803
752,0.2476,1.1622,0.0735
753,0.2399,1.0278,0.0725
754,0.2376,0.9856,0.0729
755,0.246,0.9888,0.0737
756,0.2587,0.8911,0.0872
757,0.2825,0.7322,0.1125
758,0.2698,0.9516,0.1104
759,0.303,1.0095,0.1346
760,0.2981,1.2932,0.1266
761,0.2675,1.4163,0.1052
762,0.247,1.8123,0.0884
763,0.2481,2.0385,0.0813
764,0.2318,1.6094,0.0706
765,0.2108,1.3661,0.0611
766,0.2153,0.8676,0.0625
767,0.2408,1.3676,0.0711
768,0.2562,1.4034,0.0776
769,0.2525,1.491,0.0766
770,0.2343,1.4556,0.0697
771,0.2297,1.4454,0.0676
772,0.2354,1.243,0.0677
773,0.2419,1.1864,0.0721
774,0.2348,1.1455,0.0673
775,0.2226,1.3066,0.0586
776,0.2103,1.4326,0.0541
777,0.215,1.3315,0.0549
778,0.2139,1.1587,0.0578
779,0.2087,1.1512,0.0527
780,0.2181,1.205,0.0609
781,0.232,1.1917,0.072
782,0.2263,0.9412,0.0754
783,0.2301,0.8311,0.0765
784,0.2535,0.8264,0.0893
785,0.2841,0.9127,0.1094
786,0.2874,0.9205,0.1097
787,0.2719,0.8892,0.0926
788,0.2002,0.7986,0.0495
789,0.1647,1.0449,0.0396
790,0.1499,1.132,0.0327
791,0.1311,0.7975,0.0274
792,0.1433,1.218,0.032
793,0.1611,1.2212,0.04
794,0.1631,1.1759,0.0415
795,0.1556,0.9819,0.0403
796,0.1477,0.9962,0.0366
797,0.1563,0.8623,0.0379
798,0.181,1.2561,0.0441
799,0.1783,1.3443,0.0411
800,0.1785,1.2691,0.0413
801,0.2014,1.2858,0.0506
802,0.1986,1.0007,0.0612
803,0.2096,1.1022,0.0772
804,0.228,1.3109,0.0954
805,0.2334,1.4164,0.0991
806,0.2284,1.4575,0.103
807,0.2202,1.3708,0.1021
808,0.2006,1.2711,0.0875
809,0.2121,1.2397,0.079
810,0.2128,1.4002,0.0736
811,0.205,1.628,0.0706
812,0.2508,1.6067,0.0817
813,0.2698,0.9678,0.0853
814,0.271,0.7922,0.085
815,0.2656,0.7237,0.0847
816,0.2472,0.6858,0.0761
817,0.2236,0.6705,0.0631
818,0.1782,0.4895,0.0464
819,0.1498,0.5799,0.0325
820,0.139,0.5401,0.0283
821,0.1223,0.4748,0.0227
822,0.0986,0.4624,0.0128
823,0.1264,0.4703,0.022
824,0.1328,0.4436,0.0278
825,0.0829,0.4418,0.0101
826,0.1329,0.6045,0.0266
827,0.1448,0.5206,0.0401
