datetime,pred_KW,pred_GHI,pred_OT
2019-08-13 06:00:00,408.82083,15.81804,28.620586
2019-08-13 07:00:00,420.46176,237.42123,29.625145
2019-08-13 08:00:00,485.21252,501.18747,30.54228
2019-08-13 09:00:00,586.2352,711.2062,31.460262
2019-08-13 10:00:00,642.1667,825.4639,31.892601
2019-08-13 11:00:00,692.1806,821.1127,32.043484
2019-08-13 12:00:00,711.31146,917.35565,32.056866
2019-08-13 13:00:00,706.96533,849.5971,31.956184
2019-08-13 14:00:00,705.588,722.32056,32.003872
2019-08-13 15:00:00,713.968,611.9367,31.692799
2019-08-13 16:00:00,705.8656,394.03265,31.15862
2019-08-13 17:00:00,673.7564,214.92192,30.530306
2019-08-13 18:00:00,630.4562,0.0,30.132051
2019-08-13 19:00:00,588.4314,0.0,29.594252
2019-08-13 20:00:00,588.3295,0.0,29.318426
2019-08-13 21:00:00,583.3956,0.0,29.17751
2019-08-13 22:00:00,588.59894,0.0,29.04397
2019-08-13 23:00:00,603.40436,0.0,28.815153
2019-08-14 00:00:00,597.30634,0.0,28.738848
2019-08-14 01:00:00,540.90936,0.0,28.725252
2019-08-14 02:00:00,500.1832,0.0,28.621607
2019-08-14 03:00:00,456.86942,0.0,28.347149
2019-08-14 04:00:00,434.0798,0.0,28.300865
2019-08-14 05:00:00,419.6186,0.0,28.493605
2019-08-14 06:00:00,408.0403,81.24131,28.94149
2019-08-14 07:00:00,424.52777,236.92216,29.905346
2019-08-14 08:00:00,478.6216,470.0585,30.837496
2019-08-14 09:00:00,605.2914,668.69714,31.42107
2019-08-14 10:00:00,660.4718,787.23566,31.785942
2019-08-14 11:00:00,718.2713,859.49713,32.030823
2019-08-14 12:00:00,736.154,874.0711,32.107452
2019-08-14 13:00:00,724.1395,845.2603,32.098057
2019-08-14 14:00:00,729.3265,753.21,32.092014
2019-08-14 15:00:00,747.82764,538.9066,31.93153
2019-08-14 16:00:00,724.3582,393.4251,31.728754
2019-08-14 17:00:00,684.3446,218.1629,30.978312
2019-08-14 18:00:00,619.20233,0.0,30.33664
2019-08-14 19:00:00,589.01794,0.0,29.75472
2019-08-14 20:00:00,593.81287,0.0,29.582373
2019-08-14 21:00:00,600.1805,0.0,29.517155
2019-08-14 22:00:00,606.69464,0.0,29.369253
2019-08-14 23:00:00,642.6185,0.0,29.338875
2019-08-15 00:00:00,647.89905,0.0,29.222916
2019-08-15 01:00:00,593.337,0.0,29.010767
2019-08-15 02:00:00,538.68353,0.0,28.770786
2019-08-15 03:00:00,500.67453,0.0,28.56916
2019-08-15 04:00:00,470.7991,0.0,28.509298
2019-08-15 05:00:00,445.78293,0.0,28.68806
2019-08-15 06:00:00,433.7394,71.69023,28.944971
2019-08-15 07:00:00,451.51807,234.34505,29.870762
2019-08-15 08:00:00,546.7748,397.97226,30.883846
2019-08-15 09:00:00,608.89703,673.78357,31.7683
2019-08-15 10:00:00,645.82166,515.46277,32.043568
2019-08-15 11:00:00,706.9559,610.985,32.221294
2019-08-15 12:00:00,744.71204,584.81976,32.311295
2019-08-15 13:00:00,725.0212,368.973,32.23135
2019-08-15 14:00:00,718.8238,391.15338,32.26805
2019-08-15 15:00:00,731.9709,443.8199,31.718552
2019-08-15 16:00:00,732.10236,317.7109,31.227158
2019-08-15 17:00:00,676.83044,94.98941,30.905535
2019-08-15 18:00:00,617.9785,0.0,30.364206
2019-08-15 19:00:00,595.3406,0.0,29.89701
2019-08-15 20:00:00,594.3278,0.0,29.810543
2019-08-15 21:00:00,580.5639,0.0,29.659073
2019-08-15 22:00:00,591.87366,0.0,29.504139
2019-08-15 23:00:00,614.5372,0.0,29.206846
2019-08-16 00:00:00,615.70593,0.0,29.025248
2019-08-16 01:00:00,557.1744,0.0,29.078262
2019-08-16 02:00:00,503.62115,0.0,28.901798
2019-08-16 03:00:00,465.82904,0.0,28.650408
2019-08-16 04:00:00,445.65192,0.0,28.70871
2019-08-16 05:00:00,435.20462,0.0,28.73952
2019-08-16 06:00:00,439.13544,84.5396,29.024557
2019-08-16 07:00:00,448.45444,156.69568,29.557215
2019-08-16 08:00:00,481.88477,443.33002,29.917767
2019-08-16 09:00:00,562.4398,642.44934,30.453188
2019-08-16 10:00:00,580.39496,572.235,31.145771
2019-08-16 11:00:00,640.2622,733.19904,31.541842
2019-08-16 12:00:00,663.48065,575.8672,31.535957
2019-08-16 13:00:00,655.7091,602.43304,31.318008
2019-08-16 14:00:00,658.37854,589.6173,31.21824
2019-08-16 15:00:00,674.1646,515.7148,31.073347
2019-08-16 16:00:00,661.4166,291.22012,30.710337
2019-08-16 17:00:00,637.34485,148.6579,30.425478
2019-08-16 18:00:00,598.54944,0.0,30.011475
2019-08-16 19:00:00,570.83026,0.0,29.67249
2019-08-16 20:00:00,576.2155,0.0,29.56177
2019-08-16 21:00:00,550.33234,0.0,29.43394
2019-08-16 22:00:00,561.06165,0.0,29.277475
2019-08-16 23:00:00,571.70184,0.0,28.98934
2019-08-17 00:00:00,603.032,0.0,28.914011
2019-08-17 01:00:00,564.24347,0.0,28.804178
2019-08-17 02:00:00,505.10284,0.0,28.750286
2019-08-17 03:00:00,466.81448,0.0,28.530201
2019-08-17 04:00:00,440.15244,0.0,28.52711
2019-08-17 05:00:00,418.3843,0.0,28.781822
2019-08-17 06:00:00,409.40836,47.334717,29.266785
2019-08-17 07:00:00,406.05664,194.96623,30.069567
2019-08-17 08:00:00,457.15552,435.41672,30.513655
2019-08-17 09:00:00,514.87836,620.6401,30.949196
2019-08-17 10:00:00,510.28503,672.47125,31.586235
2019-08-17 11:00:00,524.5425,838.5584,31.897497
2019-08-17 12:00:00,550.60077,898.75104,31.893213
2019-08-17 13:00:00,558.3063,856.5936,31.713694
2019-08-17 14:00:00,576.91455,732.67114,31.662773
2019-08-17 15:00:00,585.22687,588.2023,31.507292
2019-08-17 16:00:00,563.5642,345.67932,30.80506
2019-08-17 17:00:00,536.90234,182.22758,30.378408
2019-08-17 18:00:00,524.9465,0.0,29.807777
2019-08-17 19:00:00,487.44925,0.0,29.327358
2019-08-17 20:00:00,514.4379,0.0,29.203146
2019-08-17 21:00:00,526.9224,0.0,29.095598
2019-08-17 22:00:00,551.5006,0.0,29.067726
2019-08-17 23:00:00,578.1143,0.0,28.859188
2019-08-18 00:00:00,577.1226,0.0,28.508823
2019-08-18 01:00:00,540.4673,0.0,28.221193
2019-08-18 02:00:00,503.805,0.0,27.904882
2019-08-18 03:00:00,463.52036,0.0,27.729301
2019-08-18 04:00:00,436.08597,0.0,27.789747
2019-08-18 05:00:00,418.53378,0.0,27.917341
2019-08-18 06:00:00,400.1128,60.645363,28.4547
2019-08-18 07:00:00,404.0902,193.57953,29.240479
2019-08-18 08:00:00,421.4951,385.799,30.060463
2019-08-18 09:00:00,447.41733,583.92365,30.967371
2019-08-18 10:00:00,452.24783,754.3777,31.434677
