LOAD(kW),SG(t)
316.5577502,0.65056334
318.866628,0.39016265
315.1390089,0.3594757
319.1563187,0.24661403
314.5528661,0.15564495
299.5782202,0.03886168
302.3596578,0
300.6322887,0
296.6299764,0
309.865119,0
315.4677549,0
258.3324372,0
274.6707244,0
232.8492654,0
204.8408869,0
188.4658611,0
179.5706709,0
187.5603934,0
164.8355957,0
188.4716685,0.03258368
236.9025238,0.19620384
256.6090013,0.26073996
259.7801786,0.4042989
290.5492599,0.61119168
303.9863363,0.6464663
276.2378636,0.3873956
312.1095161,0.29764944
287.0347203,0.2103689
281.5358678,0.05170406
283.1216399,0.01145391
252.353698,0
255.3372215,0
283.73135,0
301.2909157,0
294.9206239,0
287.2664603,0
276.8476964,0
221.7038327,0
205.4178274,0
191.4177649,0
178.3786458,0
167.2128542,0
172.5529485,0
198.6991042,0.03612387
230.614484,0.12356394
258.4600655,0.17711141
267.9858185,0.52263834
297.8078244,0.61253328
260.4400066,0.64444702
266.6153958,0.61593931
255.2976031,0.16540982
293.3084702,0.03310484
301.864826,0.05542614
271.411622,0.03110835
307.2715804,0
266.9613006,0
273.962,0
262.7609613,0
266.1879226,0
260.5986926,0
256.6665307,0
229.1531649,0
208.5656994,0
174.4812927,0
160.2131743,0
159.6001548,0
156.5803214,0
172.4949279,0.02439261
197.7978771,0.02436939
208.081768,0.06221799
253.6891846,0.06483024
247.4282768,0.05489939
263.0644881,0.05934258
264.1236285,0.05659101
238.9962628,0.10409956
242.3087887,0.12378324
242.0174256,0.05920068
233.1125447,0.008987
243.8637099,0
252.5881043,0
242.2098363,0
234.698286,0
265.1202847,0
264.7106442,0
229.2517412,0
209.3408225,0
180.8639199,0
149.7414675,0
157.7123988,0
148.4069411,0
166.8950608,0
163.1050834,0.01235906
160.8534488,0.07375704
200.714645,0.2360313
202.1166064,0.35265375
219.7065517,0.6175746
226.4298386,0.65254048
203.1061057,0.62650828
212.5559095,0.53445345
218.2715437,0.28661822
225.7578935,0.1260072
234.290463,0.0316566
240.8878435,0
233.2126386,0
247.81133,0
248.6265021,0
267.2500526,0
261.2384256,0
255.5004612,0
186.4245553,0
177.1514275,0
163.8652999,0
150.5436882,0
138.256645,0
153.5468868,0
162.770949,0.01579734
217.401099,0.09335429
235.2010414,0.3725735
240.7375514,0.51435396
249.1510923,0.60578916
260.2574355,0.6362667
245.443597,0.51003891
266.9045299,0.5277476
269.9765752,0.39241284
232.5235947,0.1088975
238.7055506,0.03321922
259.2279168,0
229.3429266,0
270.4470841,0
312.2637226,0
321.0457831,0
310.4035504,0
291.5239792,0
235.0620227,0
208.843836,0
166.8734301,0
180.913228,0
174.2908661,0
160.6142957,0
200.1879881,0.00356556
220.7606299,0.01512439
248.7575965,0.05061315
226.6637931,0.07001217
244.977136,0.07171497
275.511894,0.0814936
253.8238971,0.0620361
260.7651937,0.04790286
254.6989943,0.03818185
251.0463699,0.01867404
249.8586532,0.0053406
257.2229713,0
265.5427715,0
252.7538766,0
274.8739772,0
278.5625953,0
277.2993624,0
251.7026041,0
218.0319649,0
174.1245493,0
170.9885018,0
147.2719719,0
163.3388869,0
150.6586453,0
182.0217754,0.0035432
202.9223634,0.01500743
234.856502,0.06953659
247.0303106,0.49522584
265.5436401,0.2666688
286.5262252,0.25977848
255.3983493,0.24936904
276.1752947,0.52998876
284.5122704,0.20518912
271.1580744,0.053019
269.6515898,0.06840526
268.7967384,0
261.6667322,0
266.7104485,0
263.5366119,0
268.021965,0
269.7481757,0
267.447314,0
224.9481464,0
196.6078178,0
177.9763301,0
186.8489254,0
169.4674339,0
170.9601369,0
179.4475601,0.03459651
185.7846531,0.20558988
211.2382217,0.3867248
232.8687589,0.53666924
226.073032,0.64824521
244.7515188,0.68808299
222.6785191,0.6618732
220.3759781,0.57703592
228.5678363,0.43428968
241.6793601,0.25588569
209.2971548,0.07635381
221.6011824,0
220.4924865,0
226.0350781,0
224.4352403,0
241.6135063,0
216.154436,0
230.0436604,0
204.3492251,0
182.0004867,0
164.2689315,0
155.1417621,0
158.9903185,0
154.2643899,0
168.7317222,0.02988328
168.1682814,0.21375515
190.1011809,0.39124668
195.9685536,0.53744496
229.4290506,0.6400593
219.6402838,0.67684365
226.4481488,0.65315108
213.2856452,0.56874423
208.9375285,0.43215
216.6620238,0.25822962
215.6517226,0.02016571
217.0784345,0
226.0240762,0
237.6869971,0
236.3686211,0
246.7918727,0
236.2015714,0
227.5192662,0
217.0215377,0
216.8000423,0
175.1750497,0
165.8756447,0
167.0838941,0
174.3100632,0
167.4129524,0.01602954
178.0820023,0.08265933
194.5831667,0.0319662
201.8976655,0.06120921
225.9583244,0.13211234
244.9101388,0.18540181
216.8882589,0.11626512
214.6964911,0.1865598
225.4704813,0.10853974
198.0481051,0.04189533
208.4139554,0.0267933
218.200053,0
213.6637294,0
219.4555705,0
208.642722,0
236.2823839,0
229.1044414,0
240.4901102,0
210.7541072,0
180.3697818,0
165.315411,0
170.9674583,0
168.3890833,0
176.4146518,0
165.6163155,0.0133773
177.727221,0.0712424
185.8848859,0.03201264
200.2232187,0.09949856
221.9843036,0.05507956
212.6256619,0.05868984
232.265747,0.05699392
231.2790566,0.0490501
229.0599887,0.07416382
244.4744286,0.01969572
233.0940565,0.00627284
232.0745996,0
241.4188175,0
241.8041104,0
254.8886106,0
259.7400718,0
249.9252827,0
256.2728696,0
222.5240313,0
191.0833462,0
179.0543033,0
160.5462649,0
163.5264078,0
154.9557143,0
173.8832198,0.0178536
227.3888929,0.06857081
245.3308148,0.0870191
257.8609437,0.20540584
256.471381,0.3047109
271.6905854,0.139277
260.0441908,0.15418725
242.6563652,0.11729669
268.0855149,0.0371133
285.8552342,0.02039318
283.1816663,0.00622468
272.8053965,0
270.2860201,0
287.7947651,0
287.8295761,0
294.0046478,0
296.6951494,0
274.8296896,0
214.5160624,0
181.7227248,0
166.373711,0
156.618224,0
153.0731466,0
163.2114278,0
177.6800365,0.01968626
231.6266336,0.10365064
262.3304691,0.26028588
251.646355,0.27312869
266.6753213,0.42375726
317.1098113,0.31861968
296.4744881,0.3463005
294.7229565,0.2830518
304.9794444,0.30589426
309.64087,0.18576688
307.92454,0.05989599
290.7267735,0
307.4959491,0
301.1431084,0
312.9687703,0
315.2788626,0
291.0772772,0
266.0475089,0
227.871007,0
204.1601355,0
185.3350961,0
175.7369546,0
