timestamp,TEMPERATURE_true,TEMPERATURE_pred
2019-08-11 03:00:00,30.2,30.194168
2019-08-11 04:00:00,30.0,30.039413
2019-08-11 05:00:00,29.9,29.898287
2019-08-11 06:00:00,29.9,29.879433
2019-08-11 07:00:00,30.2,29.970652
2019-08-11 08:00:00,30.6,30.421196
2019-08-11 09:00:00,31.0,30.894989
2019-08-11 10:00:00,31.4,31.320911
2019-08-11 11:00:00,31.6,31.721989
2019-08-11 12:00:00,31.7,31.82992
2019-08-11 13:00:00,31.8,31.867128
2019-08-11 14:00:00,31.9,31.897581
2019-08-11 15:00:00,31.9,31.881847
2019-08-11 16:00:00,31.7,31.76625
2019-08-11 17:00:00,31.2,31.429
2019-08-11 18:00:00,30.7,30.833807
2019-08-11 19:00:00,30.2,30.37437
2019-08-11 20:00:00,29.9,29.985184
2019-08-11 21:00:00,29.7,29.787626
2019-08-11 22:00:00,29.6,29.639975
2019-08-11 23:00:00,29.4,29.545464
2019-08-12 00:00:00,29.3,29.319868
2019-08-12 01:00:00,29.1,29.175396
2019-08-12 02:00:00,29.0,28.96055
2019-08-12 03:00:00,28.9,28.86874
2019-08-12 04:00:00,28.8,28.811623
2019-08-12 05:00:00,28.8,28.78407
2019-08-12 06:00:00,28.8,28.907356
2019-08-12 07:00:00,29.3,29.005663
2019-08-12 08:00:00,30.0,29.778093
2019-08-12 09:00:00,30.8,30.5476
2019-08-12 10:00:00,31.1,31.266212
2019-08-12 11:00:00,31.0,31.215538
2019-08-12 12:00:00,30.9,30.925322
2019-08-12 13:00:00,30.9,30.824347
2019-08-12 14:00:00,30.8,30.818008
2019-08-12 15:00:00,30.6,30.637297
2019-08-12 16:00:00,30.4,30.43123
2019-08-12 17:00:00,30.2,30.161127
2019-08-12 18:00:00,30.0,29.934723
2019-08-12 19:00:00,29.7,29.75187
2019-08-12 20:00:00,29.5,29.461115
2019-08-12 21:00:00,29.3,29.33015
2019-08-12 22:00:00,29.2,29.151373
2019-08-12 23:00:00,29.1,29.081684
2019-08-13 00:00:00,29.0,28.969187
2019-08-13 01:00:00,29.0,28.843523
2019-08-13 02:00:00,28.9,28.848566
2019-08-13 03:00:00,28.8,28.748528
2019-08-13 04:00:00,28.6,28.693424
2019-08-13 05:00:00,28.5,28.550648
2019-08-13 06:00:00,28.4,28.575762
2019-08-13 07:00:00,29.1,28.555197
2019-08-13 08:00:00,30.0,29.71525
2019-08-13 09:00:00,31.0,30.628721
2019-08-13 10:00:00,31.5,31.545769
2019-08-13 11:00:00,31.8,31.720657
2019-08-13 12:00:00,32.0,31.911558
2019-08-13 13:00:00,32.1,32.025967
2019-08-13 14:00:00,32.0,32.01687
2019-08-13 15:00:00,31.8,31.753212
2019-08-13 16:00:00,31.5,31.425295
2019-08-13 17:00:00,31.1,31.001657
2019-08-13 18:00:00,30.7,30.519388
2019-08-13 19:00:00,29.9,30.16258
2019-08-13 20:00:00,29.5,29.467834
2019-08-13 21:00:00,29.2,29.263464
2019-08-13 22:00:00,29.0,29.074926
2019-08-13 23:00:00,28.8,28.917215
2019-08-14 00:00:00,28.8,28.710762
2019-08-14 01:00:00,28.7,28.680874
2019-08-14 02:00:00,28.6,28.573837
2019-08-14 03:00:00,28.4,28.481356
2019-08-14 04:00:00,28.3,28.322853
2019-08-14 05:00:00,28.2,28.333588
2019-08-14 06:00:00,28.2,28.352293
2019-08-14 07:00:00,29.0,28.4999
2019-08-14 08:00:00,29.8,29.76434
2019-08-14 09:00:00,30.7,30.462221
2019-08-14 10:00:00,31.3,31.2758
2019-08-14 11:00:00,31.7,31.624027
2019-08-14 12:00:00,32.0,31.877758
2019-08-14 13:00:00,32.3,32.086205
2019-08-14 14:00:00,32.3,32.291176
2019-08-14 15:00:00,32.2,32.07554
2019-08-14 16:00:00,31.9,31.8348
2019-08-14 17:00:00,31.4,31.327738
2019-08-14 18:00:00,30.9,30.730188
2019-08-14 19:00:00,30.1,30.275356
2019-08-14 20:00:00,29.8,29.592037
2019-08-14 21:00:00,29.6,29.505917
2019-08-14 22:00:00,29.4,29.409243
2019-08-14 23:00:00,29.4,29.254574
2019-08-15 00:00:00,29.2,29.223103
2019-08-15 01:00:00,29.0,29.003008
2019-08-15 02:00:00,28.8,28.781874
2019-08-15 03:00:00,28.7,28.583366
2019-08-15 04:00:00,28.6,28.535225
2019-08-15 05:00:00,28.4,28.543682
2019-08-15 06:00:00,28.3,28.438358
2019-08-15 07:00:00,29.1,28.493473
2019-08-15 08:00:00,30.0,29.819883
2019-08-15 09:00:00,30.9,30.654858
2019-08-15 10:00:00,31.5,31.421867
2019-08-15 11:00:00,31.9,31.770327
2019-08-15 12:00:00,32.1,31.97916
2019-08-15 13:00:00,32.2,32.059063
2019-08-15 14:00:00,32.1,31.995317
2019-08-15 15:00:00,31.8,31.753212
2019-08-15 16:00:00,31.5,31.38078
2019-08-15 17:00:00,31.1,31.07291
2019-08-15 18:00:00,30.6,30.607817
2019-08-15 19:00:00,30.1,30.100975
2019-08-15 20:00:00,29.9,29.695282
2019-08-15 21:00:00,29.7,29.646227
2019-08-15 22:00:00,29.5,29.515633
2019-08-15 23:00:00,29.3,29.345123
2019-08-16 00:00:00,29.1,29.135027
2019-08-16 01:00:00,29.0,28.905935
2019-08-16 02:00:00,28.8,28.824951
2019-08-16 03:00:00,28.7,28.632402
2019-08-16 04:00:00,28.6,28.621328
2019-08-16 05:00:00,28.5,28.610065
2019-08-16 06:00:00,28.5,28.599636
